City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Riyadh,SA,2022-04-20 18:50:44,24.6877,46.7219,91.54,12,75,14.38
98,Banfora,BF,2022-04-20 18:55:22,10.6333,-4.7667,92.93,33,100,4.27
99,Port Alfred,ZA,2022-04-20 18:54:13,-33.5906,26.891,70.95,79,8,12.64
100,Kadiri,IN,2022-04-20 18:55:23,14.1167,78.1667,84.36,48,3,5.19
101,Lorengau,PG,2022-04-20 18:55:23,-2.0226,147.2712,82.11,73,72,11.14
102,Cotonou,BJ,2022-04-20 18:55:23,6.3654,2.4183,84.18,79,20,14.97
103,Buraydah,SA,2022-04-20 18:55:24,26.326,43.975,86.45,17,62,14.05
104,Kendari,ID,2022-04-20 18:55:24,-3.945,122.4989,75.2,94,100,3.76
105,Sitka,US,2022-04-20 18:55:14,57.0531,-135.33,43.27,79,100,4.65
106,Harper,LR,2022-04-20 18:55:24,4.375,-7.7169,81.52,78,96,9.46
107,Bambous Virieux,MU,2022-04-20 18:55:25,-20.3428,57.7575,77.25,88,40,3.44
108,Derzhavinsk,KZ,2022-04-20 18:55:25,51.1,66.3167,58.6,62,100,12.06
109,Tuatapere,NZ,2022-04-20 18:55:25,-46.1333,167.6833,58.69,98,99,1.59
110,Victoria,HK,2022-04-20 18:54:33,22.2855,114.1577,73.18,83,91,8.01
111,Carballo,ES,2022-04-20 18:55:26,43.213,-8.691,53.76,74,8,3.69
112,Saskylakh,RU,2022-04-20 18:55:26,71.9167,114.0833,-2.33,100,100,3.67
113,Souillac,MU,2022-04-20 18:55:27,-20.5167,57.5167,77.38,88,40,3.44
114,Hilo,US,2022-04-20 18:54:10,19.7297,-155.09,77.29,78,100,1.01
115,Baykit,RU,2022-04-20 18:55:27,61.67,96.37,6.26,98,97,2.04
116,Brilon,DE,2022-04-20 18:55:27,51.4,8.5833,49.46,86,94,5.01
117,Vila Franca Do Campo,PT,2022-04-20 18:55:28,37.7167,-25.4333,61.21,61,85,1.23
118,Quime,BO,2022-04-20 18:55:28,-16.9833,-67.2167,61.66,60,82,6.93
119,Sur,OM,2022-04-20 18:55:28,22.5667,59.5289,82.9,65,100,8.77
120,Cape Town,ZA,2022-04-20 18:55:29,-33.9258,18.4232,69.12,62,0,4.61
121,Namibe,AO,2022-04-20 18:55:29,-15.1961,12.1522,76.46,86,99,6.04
122,Padang,ID,2022-04-20 18:51:09,-0.9492,100.3543,75.25,91,100,4.99
123,Kaeo,NZ,2022-04-20 18:55:29,-35.1,173.7833,67.32,97,95,9.8
124,Kargasok,RU,2022-04-20 18:55:30,59.0556,80.8572,32.49,98,100,2.39
125,Dunedin,NZ,2022-04-20 18:55:30,-45.8742,170.5036,59.81,89,79,10.0
126,Chicama,PE,2022-04-20 18:55:30,-7.8447,-79.1469,66.74,57,16,10.87
127,Itoman,JP,2022-04-20 18:55:31,26.1247,127.6694,71.98,88,40,10.36
128,Ribeira Grande,PT,2022-04-20 18:54:37,38.5167,-28.7,63.0,67,75,3.44
