City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Mizan Teferi,ET,6.9833,35.5833,71.258,87,100,0.31,light rain
191,Saint-Francois,FR,46.4154,3.9054,65.642,45,0,1.54,clear sky
192,Sitrah,BH,26.1547,50.6206,89.816,42,0,3.6,clear sky
193,Comodoro Rivadavia,AR,-45.8667,-67.5,57.056,51,0,2.06,clear sky
194,Goderich,CA,43.7501,-81.7165,49.91,87,100,8.23,overcast clouds
195,Mitu,CO,1.1983,-70.1733,77.18,82,100,0.29,overcast clouds
196,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,1.54,mist
197,Monrovia,LR,6.3005,-10.7969,82.598,73,100,3.64,overcast clouds
198,High Rock,BS,26.6208,-78.2833,77.018,59,28,9.36,scattered clouds
199,Maridi,SS,4.9158,29.4742,72.752,86,100,2.16,overcast clouds
200,Olinda,BR,-8.0089,-34.8553,85.73,62,20,3.6,few clouds
201,Namibe,AO,-15.1961,12.1522,79.628,70,100,5.09,overcast clouds
202,Saint Augustine,US,29.8947,-81.3145,76.046,56,100,6.17,overcast clouds
203,Gat,IL,31.61,34.7642,78.404,38,0,7.69,clear sky
204,Shymkent,KZ,42.3,69.6,66.794,60,40,2,light rain
205,Grindavik,IS,63.8424,-22.4338,52.268,82,75,9.26,broken clouds
206,Kedrovyy,RU,56.1667,91.8167,41.414,93,100,2.01,overcast clouds
207,Ambato,EC,-1.2491,-78.6168,57.308,82,75,1.15,broken clouds
208,San Antonio,US,29.4241,-98.4936,75.65,89,75,4.63,mist
209,Vardo,NO,70.3705,31.1107,39.182,93,75,2.57,light rain
210,Vite,IN,17.2833,74.55,95.27,19,46,3.54,scattered clouds
211,Ormara,PK,25.2088,64.6357,81.086,74,20,7.15,few clouds
212,Sechura,PE,-5.5569,-80.8222,71.708,71,85,4.83,overcast clouds
213,Nova Olimpia,BR,-14.7972,-57.2881,84.524,63,100,1.14,overcast clouds
214,Chibuto,MZ,-24.6867,33.5306,75.146,73,79,2.65,broken clouds
215,Moose Factory,CA,51.2585,-80.6094,35.6,100,100,4.12,light rain
216,Stornoway,GB,58.2093,-6.3865,57.92,78,0,5.66,clear sky
217,Halifax,CA,44.6453,-63.5724,48.344,47,40,2.06,scattered clouds
218,Agbor,NG,6.2518,6.1934,87.818,58,100,2.11,overcast clouds
219,Tres Arroyos,AR,-38.3739,-60.2798,56.696,56,100,4.4,overcast clouds
220,Santa Cruz,BO,-17.8,-63.1667,86.054,62,75,7.72,broken clouds
221,Ussel,FR,45.55,2.3167,54.788,86,100,1.5,overcast clouds
222,Cap Malheureux,MU,-19.9842,57.6142,78.476,85,42,1.34,scattered clouds
223,Aswan,EG,24.0934,32.907,93.956,6,3,5.63,clear sky
224,Axim,GH,4.8699,-2.2405,84.038,74,100,1.68,moderate rain
225,Omboue,GA,-1.5746,9.2618,84.884,69,61,3.8,broken clouds
226,Henties Bay,NA,-22.116,14.2845,72.968,62,2,4.87,clear sky
227,Bafoulabe,ML,13.8065,-10.8321,106.484,7,7,2.31,clear sky
228,Sehithwa,BW,-20.4667,22.7167,73.922,41,96,4.71,overcast clouds
229,Suez,EG,29.9737,32.5263,77.432,28,0,8.48,clear sky
230,Poroszlo,HU,47.65,20.6667,61.952,50,99,3.36,overcast clouds
231,Marevo,RU,57.3146,32.0804,54.158,57,53,4.78,broken clouds
232,Jacmel,HT,18.2342,-72.5347,80.438,71,76,1.45,broken clouds
233,Kyzyl-Suu,KG,42.3414,78.0056,50.756,77,100,0.97,overcast clouds
234,Torbay,CA,47.6666,-52.7314,47.75,61,20,8.75,few clouds
235,Manakara,MG,-22.1333,48.0167,76.91,85,82,3.63,light rain
236,Dingle,PH,10.9995,122.6711,78.782,86,87,3.28,overcast clouds
237,Thinadhoo,MV,0.5333,72.9333,84.794,70,20,4.77,few clouds
238,Warri,NG,5.5167,5.75,87.692,65,100,3.32,light rain
239,Deder,ET,9.3167,41.45,70.88,39,98,1.15,overcast clouds
240,Grand-Santi,GF,4.25,-54.3833,78.98,94,98,1.1,light rain
241,Olafsvik,IS,64.8945,-23.7142,47.174,79,100,1.92,overcast clouds
242,Murashi,RU,59.3999,48.9615,39.128,63,6,2.59,clear sky
243,Turayf,SA,31.6725,38.6637,80.852,13,0,1.54,clear sky
244,Paulo Afonso,BR,-9.4061,-38.2147,91.058,34,84,4.37,broken clouds
245,Chama,CH,47.1821,8.4636,67.946,39,0,2.57,clear sky
246,Boundiali,CI,9.5217,-6.4869,101.066,21,85,1.52,overcast clouds
247,Qaqortoq,GL,60.7167,-46.0333,35.798,73,100,7.31,light rain
248,Dehri,IN,24.8667,84.1833,96.314,17,15,3.49,few clouds
249,Sol-Iletsk,RU,51.1631,54.9918,56.732,70,100,7.21,overcast clouds
250,Alta Floresta,BR,-9.8756,-56.0861,80.42,89,100,2.57,overcast clouds
251,State College,US,40.7934,-77.86,53.51,64,100,6.69,light rain
252,Canakkale,TR,40.0833,26.8333,59.576,58,92,4.16,overcast clouds
253,Kasempa,ZM,-13.4584,25.8338,69.476,76,91,1.61,overcast clouds
254,Robertsport,LR,6.7533,-11.3686,83.696,74,100,5.14,overcast clouds
255,Najran,SA,17.4924,44.1277,93.848,11,9,7.34,clear sky
256,Katima Mulilo,NA,-17.5,24.2667,75.236,51,96,0.98,light rain
257,Banda Aceh,ID,5.5577,95.3222,82.472,75,95,2.58,light rain
258,Lucea,JM,18.451,-78.1736,82.85,73,12,7.06,few clouds
259,Ejea De Los Caballeros,ES,42.1263,-1.1372,57.416,64,97,10.48,overcast clouds
260,Betanzos,ES,43.2804,-8.2147,63.626,57,75,5.81,broken clouds
261,Los Llanos De Aridane,ES,28.6585,-17.9182,64.148,84,75,4.12,broken clouds
262,Atar,MR,20.5169,-13.0499,93.74,9,0,6.65,clear sky
263,Puri,IN,19.8,85.85,84.722,83,100,4.81,overcast clouds
264,Santa Cruz Cabralia,BR,-16.2781,-39.0247,82.634,65,40,3.6,scattered clouds
265,Tyukhtet,RU,56.5389,89.3011,38.246,82,100,0.63,overcast clouds
266,Cascais,PT,38.6979,-9.4215,65.516,66,40,16.09,scattered clouds
267,Houma,US,29.5958,-90.7195,78.8,82,0,5.14,clear sky
268,Sinnamary,GF,5.3833,-52.95,79.646,85,100,2.6,heavy intensity rain
269,Antigonish,CA,45.6169,-61.9986,47.138,51,20,0.45,few clouds
270,Huntsville,US,34.7304,-86.5861,69.134,68,0,8.23,clear sky
271,Sliven,BG,42.6858,26.3292,61.754,42,27,3.61,scattered clouds
272,Challapata,BO,-18.9,-66.7667,53.672,16,45,1.65,scattered clouds
273,Hobyo,SO,5.3505,48.5268,84.416,69,31,5.04,scattered clouds
274,Trelew,AR,-43.249,-65.3051,59.846,31,100,5.83,overcast clouds
275,Wattegama,LK,6.7989,81.4808,77.72,88,70,1.52,broken clouds
276,Zonguldak,TR,41.25,31.8333,49.046,62,14,1.89,few clouds
277,Shar,KZ,49.5886,81.0453,58.262,56,100,6.08,overcast clouds
278,Mogadishu,SO,2.0371,45.3438,85.874,74,20,5.66,few clouds
279,Abu Samrah,SY,35.3029,37.1841,74.012,26,0,4.67,clear sky
280,Sao Raimundo Nonato,BR,-9.0153,-42.6994,88.286,47,45,3.89,scattered clouds
281,Krasnyy Klyuch,RU,55.3863,56.6529,41.756,60,53,4.24,broken clouds
282,Maiduguri,NG,11.8464,13.1603,105.134,9,100,5,overcast clouds
283,Praia Da Vitoria,PT,38.7333,-27.0667,61.754,72,40,8.73,scattered clouds
284,Copiapo,CL,-27.3667,-70.3333,55.094,38,0,1.28,clear sky
285,Gardez,AF,33.5974,69.2259,60.35,21,40,2.67,scattered clouds
286,Varkaus,FI,62.3153,27.873,52.304,63,16,1.86,few clouds
287,Royan,FR,45.6285,-1.0281,65.822,71,95,1.29,overcast clouds
288,Sudak,UA,44.85,34.9667,45.014,87,99,4.84,overcast clouds
289,Zhezkazgan,KZ,47.8043,67.7144,67.982,30,0,4,clear sky
290,Hedaru,TZ,-4.5,37.9,81.266,56,100,3.7,overcast clouds
291,Khorixas,NA,-20.3667,14.9667,85.694,18,20,1.6,few clouds
292,Stephenville,US,32.2207,-98.2023,75.992,79,100,6.17,overcast clouds
293,Kanturk,IE,52.1667,-8.9,60.224,69,99,6.7,overcast clouds
294,Ongandjera,NA,-17.8833,15.0667,80.78,25,41,3.88,scattered clouds
295,Nizhniy Baskunchak,RU,48.2198,46.8311,66.326,27,3,6.51,clear sky
296,Roald,NO,62.5833,6.1333,63.518,71,0,7.72,clear sky
297,Kocevje,SI,45.6433,14.8633,58.586,65,100,1.16,overcast clouds
298,Kibondo,TZ,-3.5864,30.7203,70.25,80,63,1.46,moderate rain
299,Rio Grande,BR,-32.035,-52.0986,77.108,67,91,3.24,overcast clouds
300,Beauceville,CA,46.2179,-70.7787,42.512,52,58,4.63,broken clouds
301,Gobindpur,IN,22.6333,86.0667,84.596,51,31,7.55,scattered clouds
302,Aleksandrovka,UA,46.8383,32.7612,50.162,64,100,6.08,light rain
303,Tuscaloosa,US,33.2098,-87.5692,71.096,62,0,5.14,clear sky
304,Bonthe,SL,7.5264,-12.505,88.592,61,100,6.36,overcast clouds
305,Polyarnyy,RU,69.1989,33.4478,37.796,99,100,4.03,overcast clouds
306,Leh,IN,34.1667,77.5833,43.574,48,100,3.44,overcast clouds
307,Ponta Delgada,PT,37.7333,-25.6667,61.52,55,20,6.69,few clouds
308,Damietta,EG,31.4165,31.8133,65.012,57,1,5.11,clear sky
309,Nioro,GM,13.35,-15.75,104.882,11,37,3.96,scattered clouds
310,Bilma,NE,18.6853,12.9164,101.57,7,7,1.97,clear sky
311,Montbrison,FR,45.6667,4.0833,67.586,61,99,3.63,overcast clouds
312,Bandarbeyla,SO,9.4942,50.8122,84.164,67,91,5.74,overcast clouds
313,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,79.07,54,90,2.16,overcast clouds
314,Chapais,CA,49.7834,-74.8492,31.784,91,100,7.08,snow
315,Abaza,RU,52.655,90.0928,42.17,95,100,0.99,overcast clouds
316,Petrivka,UA,46.9695,30.9591,49.568,66,100,4.34,light rain
317,Staryy Oskol,RU,51.2967,37.8417,54.662,43,81,3.53,broken clouds
318,Balykshi,KZ,47.0667,51.8667,71.6,49,0,6,clear sky
319,Danilovka,RU,50.3557,44.1168,59.864,34,2,4.28,clear sky
320,Lapua,FI,62.9693,23.0088,62.348,63,84,1.53,broken clouds
321,Altamira,BR,-3.2033,-52.2064,82.49,83,75,1.54,broken clouds
322,Kulhudhuffushi,MV,6.6221,73.07,84.974,68,100,1.66,overcast clouds
323,Arlit,NE,18.7369,7.3853,104.792,6,7,6.06,clear sky
324,Loukhi,RU,66.0764,33.0381,43.52,100,100,2.63,overcast clouds
325,Turukhansk,RU,65.8167,87.9833,10.418,91,94,2.35,overcast clouds
326,Iracoubo,GF,5.4802,-53.2011,79.268,86,97,2.53,overcast clouds
327,Bud,US,39.447,-86.1758,56.408,97,100,4.73,overcast clouds
328,Oussouye,SN,12.485,-16.5469,102.38,22,90,4.11,overcast clouds
329,Kollo,NE,13.3043,2.339,105.818,15,89,5.13,overcast clouds
330,Mabaruma,GY,8.2,-59.7833,79.448,83,84,2.54,broken clouds
331,Veraval,IN,20.9,70.3667,84.362,72,4,8.27,clear sky
332,Dudinka,RU,69.4058,86.1778,20.624,87,98,4.42,overcast clouds
333,Karacabey,TR,40.2152,28.4038,55.778,58,59,1.64,broken clouds
334,Kemijarvi,FI,66.7131,27.4306,54.716,54,8,3.15,clear sky
335,Estelle,US,29.8458,-90.1067,78.998,71,40,4.12,scattered clouds
336,Rovnoye,RU,50.7765,46.0509,57.128,61,2,5.7,clear sky
337,Westport,US,41.1415,-73.3579,58.28,70,0,3.09,clear sky
338,Sherbakul,RU,54.6316,72.3963,39.848,77,92,8,overcast clouds
339,Talnakh,RU,69.4865,88.3972,20.21,84,89,1.81,overcast clouds
340,Chingirlau,KZ,51.095,54.0814,55.598,75,100,6.86,overcast clouds
341,San Cristobal,VE,7.7669,-72.225,68.18,87,100,1.14,overcast clouds
342,Santa Cruz Del Sur,CU,20.7147,-77.9956,79.808,71,12,8.19,few clouds
343,Yanam,IN,16.7333,82.2167,79.124,86,100,1.04,overcast clouds
344,Parchim,DE,53.4263,11.8488,58.082,62,99,5.04,overcast clouds
345,Kabanga,TZ,-2.6386,30.4678,68.684,85,99,2.05,light rain
346,Bosaso,SO,11.2842,49.1816,85.982,79,0,3.09,clear sky
347,Puerto Maldonado,PE,-12.6,-69.1833,77.396,88,75,1.03,broken clouds
