City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Cradock,ZA,80.996,overcast clouds,-32.1642,25.6192,Die Hoekhuis
112,Port-Gentil,GA,82.616,overcast clouds,-0.7193,8.7815,Fengshui Residence
113,Sawakin,SD,83.75,clear sky,19.1059,37.3321,فندق الدويم
114,Cuamba,MZ,76.388,overcast clouds,-14.8031,36.5372,Hotel Vision
119,Sur,OM,88.538,few clouds,22.5667,59.5289,Sur Plaza Hotel
123,Natal,BR,88.016,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
124,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
125,Carutapera,BR,84.902,scattered clouds,-1.195,-46.02,Lidera
129,Tela,HN,80.546,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
131,Piacabucu,BR,84.38,broken clouds,-10.4056,-36.4344,Piaçabuçu News
133,Vila Velha,BR,84.146,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
134,Aquiraz,BR,86.09,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
139,Giddarbaha,IN,86.99,scattered clouds,30.2,74.6667,panchayti dharamshala gidderbaha
144,Manicore,BR,81.032,overcast clouds,-5.8092,-61.3003,Hotel Durval
148,Aksum,ET,75.542,overcast clouds,14.1245,38.7244,Remhai Hotel
149,Coruripe,BR,84.956,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
150,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
153,Cockburn Town,TC,80.564,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
159,Richards Bay,ZA,77.126,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
161,Borba,BR,75.074,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
168,Hambantota,LK,80.942,few clouds,6.1241,81.1185,Bungalow 63
170,Inirida,CO,81.032,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
174,Takoradi,GH,85.784,moderate rain,4.8845,-1.7554,Raybow International Hotel
179,Guder,ET,80.294,overcast clouds,8.9667,37.7667,Senaf Hotel
182,Marzuq,YE,85.118,clear sky,14.4,46.4667,
185,Umm Lajj,SA,79.25,overcast clouds,25.0213,37.2685,Moon light Furnished Units
192,Sitrah,BH,89.816,clear sky,26.1547,50.6206,Al Bander Resort
195,Mitu,CO,77.18,overcast clouds,1.1983,-70.1733,
197,Monrovia,LR,82.598,overcast clouds,6.3005,-10.7969,Sunset Inn
198,High Rock,BS,77.018,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
200,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
201,Namibe,AO,79.628,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
202,Saint Augustine,US,76.046,overcast clouds,29.8947,-81.3145,St. George Inn
203,Gat,IL,78.404,clear sky,31.61,34.7642,OlusHome
208,San Antonio,US,75.65,mist,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
211,Ormara,PK,81.086,few clouds,25.2088,64.6357,Kenara Colony house for Rent
213,Nova Olimpia,BR,84.524,overcast clouds,-14.7972,-57.2881,Motel glamour
214,Chibuto,MZ,75.146,broken clouds,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
218,Agbor,NG,87.818,overcast clouds,6.2518,6.1934,MIRAMAS HOTEL
220,Santa Cruz,BO,86.054,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
222,Cap Malheureux,MU,78.476,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
224,Axim,GH,84.038,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
225,Omboue,GA,84.884,broken clouds,-1.5746,9.2618,Hotel Olako
229,Suez,EG,77.432,clear sky,29.9737,32.5263,Green House
232,Jacmel,HT,80.438,broken clouds,18.2342,-72.5347,Historic Hotel Florita
235,Manakara,MG,76.91,light rain,-22.1333,48.0167,La Residence Manakara
236,Dingle,PH,78.782,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
237,Thinadhoo,MV,84.794,few clouds,0.5333,72.9333,
238,Warri,NG,87.692,light rain,5.5167,5.75,BON Hotel Delta
240,Grand-Santi,GF,78.98,light rain,4.25,-54.3833,Hotel La Villa Couacou
243,Turayf,SA,80.852,clear sky,31.6725,38.6637,Turaif
250,Alta Floresta,BR,80.42,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
254,Robertsport,LR,83.696,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
257,Banda Aceh,ID,82.472,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
258,Lucea,JM,82.85,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
263,Puri,IN,84.722,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
264,Santa Cruz Cabralia,BR,82.634,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
267,Houma,US,78.8,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
268,Sinnamary,GF,79.646,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
273,Hobyo,SO,84.416,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
275,Wattegama,LK,77.72,broken clouds,6.7989,81.4808,
278,Mogadishu,SO,85.874,few clouds,2.0371,45.3438,Hotel Juba
280,Sao Raimundo Nonato,BR,88.286,scattered clouds,-9.0153,-42.6994,Real Hotel
290,Hedaru,TZ,81.266,overcast clouds,-4.5,37.9,Hedaru Palace Hotel
292,Stephenville,US,75.992,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
299,Rio Grande,BR,77.108,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
301,Gobindpur,IN,84.596,scattered clouds,22.6333,86.0667,Thakur Hotel
304,Bonthe,SL,88.592,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
312,Bandarbeyla,SO,84.164,overcast clouds,9.4942,50.8122,JABIR HOTEL
313,San Pedro De Ycuamandiyu,PY,79.07,overcast clouds,-24.0917,-57.0764,Hotel Refugio
321,Altamira,BR,82.49,broken clouds,-3.2033,-52.2064,Requinte Hotel
322,Kulhudhuffushi,MV,84.974,overcast clouds,6.6221,73.07,Haajy Guest House 1
326,Iracoubo,GF,79.268,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
330,Mabaruma,GY,79.448,broken clouds,8.2,-59.7833,Monty Brooms Guest House
331,Veraval,IN,84.362,clear sky,20.9,70.3667,Lords Inn Somnath
335,Estelle,US,78.998,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
342,Santa Cruz Del Sur,CU,79.808,few clouds,20.7147,-77.9956,
343,Yanam,IN,79.124,overcast clouds,16.7333,82.2167,The Regency Hotel
346,Bosaso,SO,85.982,clear sky,11.2842,49.1816,Red Sea Hotel
347,Puerto Maldonado,PE,77.396,broken clouds,-12.6,-69.1833,Wasai Hotel
350,Barkhan,PK,79.916,clear sky,29.8977,69.5256,Sardar
352,Luanda,AO,84.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
353,Buta,CD,86.972,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
356,Sao Jose Da Coroa Grande,BR,84.038,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
357,Acarau,BR,84.434,scattered clouds,-2.8856,-40.12,castelo pizzaria
361,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
371,Malindi,KE,86.162,broken clouds,-3.2175,40.1191,African House Resort
374,Trairi,BR,85.586,scattered clouds,-3.2778,-39.2689,janelas do mar
376,Sao Felix Do Xingu,BR,81.14,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
392,Chokwe,MZ,75.002,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
394,Horconcitos,PA,76.388,scattered clouds,8.4682,-81.8007,KAFETE S.A
396,Birjand,IR,79.268,clear sky,32.8663,59.2211,Birjand Tourist Hotel
398,Caravelas,BR,82.328,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
400,Kara,TG,83.912,overcast clouds,9.5511,1.1861,Hotel Ma Vision B2K
403,Jiwani,PK,81.518,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
404,Quatre Cocos,MU,78.908,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
407,Tacuati,PY,81.14,overcast clouds,-23.45,-56.5833,
412,Inhambane,MZ,75.344,overcast clouds,-23.865,35.3833,Oceano
414,Kavaratti,IN,85.82,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
415,Mango,US,79.574,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
416,Panaba,MX,82.4,overcast clouds,21.2833,-88.2667,Hotel California
420,Kasongo,CD,79.484,overcast clouds,-4.45,26.6667,Guest Hôtel
423,Boende,CD,88.412,overcast clouds,-0.2167,20.8667,
424,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
425,Camabatela,AO,76.154,light rain,-8.1881,15.375,Comércio e Prestação de Serviços
427,Sabzevar,IR,79.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
